emoji,desc,unicode
👋,Mano Che Saluta,U+1F44B
👋🏻,Mano Che Saluta Carnagione Chiara,U+1F44B U+1F3FB
👋🏼,Mano Che Saluta Carnagione Abbastanza Chiara,U+1F44B U+1F3FC
👋🏽,Mano Che Saluta Carnagione Olivastra,U+1F44B U+1F3FD
👋🏾,Mano Che Saluta Carnagione Abbastanza Scura,U+1F44B U+1F3FE
👋🏿,Mano Che Saluta Carnagione Scura,U+1F44B U+1F3FF
🤚,Dorso Mano Alzata,U+1F91A
🤚🏻,Dorso Mano Alzata Carnagione Chiara,U+1F91A U+1F3FB
🤚🏼,Dorso Mano Alzata Carnagione Abbastanza Chiara,U+1F91A U+1F3FC
🤚🏽,Dorso Mano Alzata Carnagione Olivastra,U+1F91A U+1F3FD
🤚🏾,Dorso Mano Alzata Carnagione Abbastanza Scura,U+1F91A U+1F3FE
🤚🏿,Dorso Mano Alzata Carnagione Scura,U+1F91A U+1F3FF
🖐️,Mano Aperta,U+1F590 U+FE0F
🖐🏻,Mano Aperta Carnagione Chiara,U+1F590 U+1F3FB
🖐🏼,Mano Aperta Carnagione Abbastanza Chiara,U+1F590 U+1F3FC
🖐🏽,Mano Aperta Carnagione Olivastra,U+1F590 U+1F3FD
🖐🏾,Mano Aperta Carnagione Abbastanza Scura,U+1F590 U+1F3FE
🖐🏿,Mano Aperta Carnagione Scura,U+1F590 U+1F3FF
✋,Mano Alzata,U+270B
✋🏻,Mano Alzata Carnagione Chiara,U+270B U+1F3FB
✋🏼,Mano Alzata Carnagione Abbastanza Chiara,U+270B U+1F3FC
✋🏽,Mano Alzata Carnagione Olivastra,U+270B U+1F3FD
✋🏾,Mano Alzata Carnagione Abbastanza Scura,U+270B U+1F3FE
✋🏿,Mano Alzata Carnagione Scura,U+270B U+1F3FF
🖖,Saluto Vulcaniano,U+1F596
🖖🏻,Saluto Vulcaniano Carnagione Chiara,U+1F596 U+1F3FB
🖖🏼,Saluto Vulcaniano Carnagione Abbastanza Chiara,U+1F596 U+1F3FC
🖖🏽,Saluto Vulcaniano Carnagione Olivastra,U+1F596 U+1F3FD
🖖🏾,Saluto Vulcaniano Carnagione Abbastanza Scura,U+1F596 U+1F3FE
🖖🏿,Saluto Vulcaniano Carnagione Scura,U+1F596 U+1F3FF
👌,Mano Che Fa OK,U+1F44C
👌🏻,Mano Che Fa OK Carnagione Chiara,U+1F44C U+1F3FB
👌🏼,Mano Che Fa OK Carnagione Abbastanza Chiara,U+1F44C U+1F3FC
👌🏽,Mano Che Fa OK Carnagione Olivastra,U+1F44C U+1F3FD
👌🏾,Mano Che Fa OK Carnagione Abbastanza Scura,U+1F44C U+1F3FE
👌🏿,Mano Che Fa OK Carnagione Scura,U+1F44C U+1F3FF
🤌,Mano A Pigna,U+1F90C
🤌🏻,Mano A Pigna Carnagione Chiara,U+1F90C U+1F3FB
🤌🏼,Mano A Pigna Carnagione Abbastanza Chiara,U+1F90C U+1F3FC
🤌🏽,Mano A Pigna Carnagione Olivastra,U+1F90C U+1F3FD
🤌🏾,Mano A Pigna Carnagione Abbastanza Scura,U+1F90C U+1F3FE
🤌🏿,Mano A Pigna Carnagione Scura,U+1F90C U+1F3FF
🤏,Mano Che Fa Il Gesto Del Pizzico,U+1F90F
🤏🏻,Mano Che Fa Il Gesto Del Pizzico Carnagione Chiara,U+1F90F U+1F3FB
🤏🏼,Mano Che Fa Il Gesto Del Pizzico Carnagione Abbastanza Chiara,U+1F90F U+1F3FC
🤏🏽,Mano Che Fa Il Gesto Del Pizzico Carnagione Olivastra,U+1F90F U+1F3FD
🤏🏾,Mano Che Fa Il Gesto Del Pizzico Carnagione Abbastanza Scura,U+1F90F U+1F3FE
🤏🏿,Mano Che Fa Il Gesto Del Pizzico Carnagione Scura,U+1F90F U+1F3FF
✌️,Vittoria,U+270C U+FE0F
✌🏻,Vittoria Carnagione Chiara,U+270C U+1F3FB
✌🏼,Vittoria Carnagione Abbastanza Chiara,U+270C U+1F3FC
✌🏽,Vittoria Carnagione Olivastra,U+270C U+1F3FD
✌🏾,Vittoria Carnagione Abbastanza Scura,U+270C U+1F3FE
✌🏿,Vittoria Carnagione Scura,U+270C U+1F3FF
🤞,Dita Incrociate,U+1F91E
🤞🏻,Dita Incrociate Carnagione Chiara,U+1F91E U+1F3FB
🤞🏼,Dita Incrociate Carnagione Abbastanza Chiara,U+1F91E U+1F3FC
🤞🏽,Dita Incrociate Carnagione Olivastra,U+1F91E U+1F3FD
🤞🏾,Dita Incrociate Carnagione Abbastanza Scura,U+1F91E U+1F3FE
🤞🏿,Dita Incrociate Carnagione Scura,U+1F91E U+1F3FF
🤟,Gesto Ti Amo,U+1F91F
🤟🏻,Gesto Ti Amo Carnagione Chiara,U+1F91F U+1F3FB
🤟🏼,Gesto Ti Amo Carnagione Abbastanza Chiara,U+1F91F U+1F3FC
🤟🏽,Gesto Ti Amo Carnagione Olivastra,U+1F91F U+1F3FD
🤟🏾,Gesto Ti Amo Carnagione Abbastanza Scura,U+1F91F U+1F3FE
🤟🏿,Gesto Ti Amo Carnagione Scura,U+1F91F U+1F3FF
🤘,Segno Delle Corna,U+1F918
🤘🏻,Segno Delle Corna Carnagione Chiara,U+1F918 U+1F3FB
🤘🏼,Segno Delle Corna Carnagione Abbastanza Chiara,U+1F918 U+1F3FC
🤘🏽,Segno Delle Corna Carnagione Olivastra,U+1F918 U+1F3FD
🤘🏾,Segno Delle Corna Carnagione Abbastanza Scura,U+1F918 U+1F3FE
🤘🏿,Segno Delle Corna Carnagione Scura,U+1F918 U+1F3FF
🤙,Mano Con Gesto Di Chiamata,U+1F919
🤙🏻,Mano Con Gesto Di Chiamata Carnagione Chiara,U+1F919 U+1F3FB
🤙🏼,Mano Con Gesto Di Chiamata Carnagione Abbastanza Chiara,U+1F919 U+1F3FC
🤙🏽,Mano Con Gesto Di Chiamata Carnagione Olivastra,U+1F919 U+1F3FD
🤙🏾,Mano Con Gesto Di Chiamata Carnagione Abbastanza Scura,U+1F919 U+1F3FE
🤙🏿,Mano Con Gesto Di Chiamata Carnagione Scura,U+1F919 U+1F3FF
👈,Indice Verso Sinistra,U+1F448
👈🏻,Indice Verso Sinistra Carnagione Chiara,U+1F448 U+1F3FB
👈🏼,Indice Verso Sinistra Carnagione Abbastanza Chiara,U+1F448 U+1F3FC
👈🏽,Indice Verso Sinistra Carnagione Olivastra,U+1F448 U+1F3FD
👈🏾,Indice Verso Sinistra Carnagione Abbastanza Scura,U+1F448 U+1F3FE
👈🏿,Indice Verso Sinistra Carnagione Scura,U+1F448 U+1F3FF
👉,Indice Verso Destra,U+1F449
👉🏻,Indice Verso Destra Carnagione Chiara,U+1F449 U+1F3FB
👉🏼,Indice Verso Destra Carnagione Abbastanza Chiara,U+1F449 U+1F3FC
👉🏽,Indice Verso Destra Carnagione Olivastra,U+1F449 U+1F3FD
👉🏾,Indice Verso Destra Carnagione Abbastanza Scura,U+1F449 U+1F3FE
👉🏿,Indice Verso Destra Carnagione Scura,U+1F449 U+1F3FF
👆,Indice Alzato,U+1F446
👆🏻,Indice Alzato Carnagione Chiara,U+1F446 U+1F3FB
👆🏼,Indice Alzato Carnagione Abbastanza Chiara,U+1F446 U+1F3FC
👆🏽,Indice Alzato Carnagione Olivastra,U+1F446 U+1F3FD
👆🏾,Indice Alzato Carnagione Abbastanza Scura,U+1F446 U+1F3FE
👆🏿,Indice Alzato Carnagione Scura,U+1F446 U+1F3FF
🖕,Dito Medio,U+1F595
🖕🏻,Dito Medio Carnagione Chiara,U+1F595 U+1F3FB
🖕🏼,Dito Medio Carnagione Abbastanza Chiara,U+1F595 U+1F3FC
🖕🏽,Dito Medio Carnagione Olivastra,U+1F595 U+1F3FD
🖕🏾,Dito Medio Carnagione Abbastanza Scura,U+1F595 U+1F3FE
🖕🏿,Dito Medio Carnagione Scura,U+1F595 U+1F3FF
👇,Indice Abbassato,U+1F447
👇🏻,Indice Abbassato Carnagione Chiara,U+1F447 U+1F3FB
👇🏼,Indice Abbassato Carnagione Abbastanza Chiara,U+1F447 U+1F3FC
👇🏽,Indice Abbassato Carnagione Olivastra,U+1F447 U+1F3FD
👇🏾,Indice Abbassato Carnagione Abbastanza Scura,U+1F447 U+1F3FE
👇🏿,Indice Abbassato Carnagione Scura,U+1F447 U+1F3FF
☝️,Indice Verso L’alto,U+261D U+FE0F
☝🏻,Indice Verso L’alto Carnagione Chiara,U+261D U+1F3FB
☝🏼,Indice Verso L’alto Carnagione Abbastanza Chiara,U+261D U+1F3FC
☝🏽,Indice Verso L’alto Carnagione Olivastra,U+261D U+1F3FD
☝🏾,Indice Verso L’alto Carnagione Abbastanza Scura,U+261D U+1F3FE
☝🏿,Indice Verso L’alto Carnagione Scura,U+261D U+1F3FF
👍,Pollice In Su,U+1F44D
👍🏻,Pollice In Su Carnagione Chiara,U+1F44D U+1F3FB
👍🏼,Pollice In Su Carnagione Abbastanza Chiara,U+1F44D U+1F3FC
👍🏽,Pollice In Su Carnagione Olivastra,U+1F44D U+1F3FD
👍🏾,Pollice In Su Carnagione Abbastanza Scura,U+1F44D U+1F3FE
👍🏿,Pollice In Su Carnagione Scura,U+1F44D U+1F3FF
👎,Pollice Verso,U+1F44E
👎🏻,Pollice Verso Carnagione Chiara,U+1F44E U+1F3FB
👎🏼,Pollice Verso Carnagione Abbastanza Chiara,U+1F44E U+1F3FC
👎🏽,Pollice Verso Carnagione Olivastra,U+1F44E U+1F3FD
👎🏾,Pollice Verso Carnagione Abbastanza Scura,U+1F44E U+1F3FE
👎🏿,Pollice Verso Carnagione Scura,U+1F44E U+1F3FF
✊,Pugno,U+270A
✊🏻,Pugno Carnagione Chiara,U+270A U+1F3FB
✊🏼,Pugno Carnagione Abbastanza Chiara,U+270A U+1F3FC
✊🏽,Pugno Carnagione Olivastra,U+270A U+1F3FD
✊🏾,Pugno Carnagione Abbastanza Scura,U+270A U+1F3FE
✊🏿,Pugno Carnagione Scura,U+270A U+1F3FF
👊,Pugno Chiuso,U+1F44A
👊🏻,Pugno Chiuso Carnagione Chiara,U+1F44A U+1F3FB
👊🏼,Pugno Chiuso Carnagione Abbastanza Chiara,U+1F44A U+1F3FC
👊🏽,Pugno Chiuso Carnagione Olivastra,U+1F44A U+1F3FD
👊🏾,Pugno Chiuso Carnagione Abbastanza Scura,U+1F44A U+1F3FE
👊🏿,Pugno Chiuso Carnagione Scura,U+1F44A U+1F3FF
🤛,Pugno A Sinistra,U+1F91B
🤛🏻,Pugno A Sinistra Carnagione Chiara,U+1F91B U+1F3FB
🤛🏼,Pugno A Sinistra Carnagione Abbastanza Chiara,U+1F91B U+1F3FC
🤛🏽,Pugno A Sinistra Carnagione Olivastra,U+1F91B U+1F3FD
🤛🏾,Pugno A Sinistra Carnagione Abbastanza Scura,U+1F91B U+1F3FE
🤛🏿,Pugno A Sinistra Carnagione Scura,U+1F91B U+1F3FF
🤜,Pugno A Destra,U+1F91C
🤜🏻,Pugno A Destra Carnagione Chiara,U+1F91C U+1F3FB
🤜🏼,Pugno A Destra Carnagione Abbastanza Chiara,U+1F91C U+1F3FC
🤜🏽,Pugno A Destra Carnagione Olivastra,U+1F91C U+1F3FD
🤜🏾,Pugno A Destra Carnagione Abbastanza Scura,U+1F91C U+1F3FE
🤜🏿,Pugno A Destra Carnagione Scura,U+1F91C U+1F3FF
👏,Mani Che Applaudono,U+1F44F
👏🏻,Mani Che Applaudono Carnagione Chiara,U+1F44F U+1F3FB
👏🏼,Mani Che Applaudono Carnagione Abbastanza Chiara,U+1F44F U+1F3FC
👏🏽,Mani Che Applaudono Carnagione Olivastra,U+1F44F U+1F3FD
👏🏾,Mani Che Applaudono Carnagione Abbastanza Scura,U+1F44F U+1F3FE
👏🏿,Mani Che Applaudono Carnagione Scura,U+1F44F U+1F3FF
🙌,Mani Alzate,U+1F64C
🙌🏻,Mani Alzate Carnagione Chiara,U+1F64C U+1F3FB
🙌🏼,Mani Alzate Carnagione Abbastanza Chiara,U+1F64C U+1F3FC
🙌🏽,Mani Alzate Carnagione Olivastra,U+1F64C U+1F3FD
🙌🏾,Mani Alzate Carnagione Abbastanza Scura,U+1F64C U+1F3FE
🙌🏿,Mani Alzate Carnagione Scura,U+1F64C U+1F3FF
👐,Mani Aperte,U+1F450
👐🏻,Mani Aperte Carnagione Chiara,U+1F450 U+1F3FB
👐🏼,Mani Aperte Carnagione Abbastanza Chiara,U+1F450 U+1F3FC
👐🏽,Mani Aperte Carnagione Olivastra,U+1F450 U+1F3FD
👐🏾,Mani Aperte Carnagione Abbastanza Scura,U+1F450 U+1F3FE
👐🏿,Mani Aperte Carnagione Scura,U+1F450 U+1F3FF
🤲,Mani Unite In Alto,U+1F932
🤲🏻,Mani Unite In Alto Carnagione Chiara,U+1F932 U+1F3FB
🤲🏼,Mani Unite In Alto Carnagione Abbastanza Chiara,U+1F932 U+1F3FC
🤲🏽,Mani Unite In Alto Carnagione Olivastra,U+1F932 U+1F3FD
🤲🏾,Mani Unite In Alto Carnagione Abbastanza Scura,U+1F932 U+1F3FE
🤲🏿,Mani Unite In Alto Carnagione Scura,U+1F932 U+1F3FF
🤝,Stretta Di Mano,U+1F91D
🙏,Mani Giunte,U+1F64F
🙏🏻,Mani Giunte Carnagione Chiara,U+1F64F U+1F3FB
🙏🏼,Mani Giunte Carnagione Abbastanza Chiara,U+1F64F U+1F3FC
🙏🏽,Mani Giunte Carnagione Olivastra,U+1F64F U+1F3FD
🙏🏾,Mani Giunte Carnagione Abbastanza Scura,U+1F64F U+1F3FE
🙏🏿,Mani Giunte Carnagione Scura,U+1F64F U+1F3FF
✍️,Mano Che Scrive,U+270D U+FE0F
✍🏻,Mano Che Scrive Carnagione Chiara,U+270D U+1F3FB
✍🏼,Mano Che Scrive Carnagione Abbastanza Chiara,U+270D U+1F3FC
✍🏽,Mano Che Scrive Carnagione Olivastra,U+270D U+1F3FD
✍🏾,Mano Che Scrive Carnagione Abbastanza Scura,U+270D U+1F3FE
✍🏿,Mano Che Scrive Carnagione Scura,U+270D U+1F3FF
💅,Smalto Per Unghie,U+1F485
💅🏻,Smalto Per Unghie Carnagione Chiara,U+1F485 U+1F3FB
💅🏼,Smalto Per Unghie Carnagione Abbastanza Chiara,U+1F485 U+1F3FC
💅🏽,Smalto Per Unghie Carnagione Olivastra,U+1F485 U+1F3FD
💅🏾,Smalto Per Unghie Carnagione Abbastanza Scura,U+1F485 U+1F3FE
💅🏿,Smalto Per Unghie Carnagione Scura,U+1F485 U+1F3FF
🤳,Selfie,U+1F933
🤳🏻,Selfie Carnagione Chiara,U+1F933 U+1F3FB
🤳🏼,Selfie Carnagione Abbastanza Chiara,U+1F933 U+1F3FC
🤳🏽,Selfie Carnagione Olivastra,U+1F933 U+1F3FD
🤳🏾,Selfie Carnagione Abbastanza Scura,U+1F933 U+1F3FE
🤳🏿,Selfie Carnagione Scura,U+1F933 U+1F3FF
💪,Bicipite,U+1F4AA
💪🏻,Bicipite Carnagione Chiara,U+1F4AA U+1F3FB
💪🏼,Bicipite Carnagione Abbastanza Chiara,U+1F4AA U+1F3FC
💪🏽,Bicipite Carnagione Olivastra,U+1F4AA U+1F3FD
💪🏾,Bicipite Carnagione Abbastanza Scura,U+1F4AA U+1F3FE
💪🏿,Bicipite Carnagione Scura,U+1F4AA U+1F3FF
🦾,Protesi Robotica Per Il Braccio,U+1F9BE
🦿,Protesi Robotica Per La Gamba,U+1F9BF
🦵,Gamba,U+1F9B5
🦵🏻,Gamba Carnagione Chiara,U+1F9B5 U+1F3FB
🦵🏼,Gamba Carnagione Abbastanza Chiara,U+1F9B5 U+1F3FC
🦵🏽,Gamba Carnagione Olivastra,U+1F9B5 U+1F3FD
🦵🏾,Gamba Carnagione Abbastanza Scura,U+1F9B5 U+1F3FE
🦵🏿,Gamba Carnagione Scura,U+1F9B5 U+1F3FF
🦶,Piede,U+1F9B6
🦶🏻,Piede Carnagione Chiara,U+1F9B6 U+1F3FB
🦶🏼,Piede Carnagione Abbastanza Chiara,U+1F9B6 U+1F3FC
🦶🏽,Piede Carnagione Olivastra,U+1F9B6 U+1F3FD
🦶🏾,Piede Carnagione Abbastanza Scura,U+1F9B6 U+1F3FE
🦶🏿,Piede Carnagione Scura,U+1F9B6 U+1F3FF
👂,Orecchio,U+1F442
👂🏻,Orecchio Carnagione Chiara,U+1F442 U+1F3FB
👂🏼,Orecchio Carnagione Abbastanza Chiara,U+1F442 U+1F3FC
👂🏽,Orecchio Carnagione Olivastra,U+1F442 U+1F3FD
👂🏾,Orecchio Carnagione Abbastanza Scura,U+1F442 U+1F3FE
👂🏿,Orecchio Carnagione Scura,U+1F442 U+1F3FF
🦻,Orecchio Con Apparecchio Acustico,U+1F9BB
🦻🏻,Orecchio Con Apparecchio Acustico Carnagione Chiara,U+1F9BB U+1F3FB
🦻🏼,Orecchio Con Apparecchio Acustico Carnagione Abbastanza Chiara,U+1F9BB U+1F3FC
🦻🏽,Orecchio Con Apparecchio Acustico Carnagione Olivastra,U+1F9BB U+1F3FD
🦻🏾,Orecchio Con Apparecchio Acustico Carnagione Abbastanza Scura,U+1F9BB U+1F3FE
🦻🏿,Orecchio Con Apparecchio Acustico Carnagione Scura,U+1F9BB U+1F3FF
👃,Naso,U+1F443
👃🏻,Naso Carnagione Chiara,U+1F443 U+1F3FB
👃🏼,Naso Carnagione Abbastanza Chiara,U+1F443 U+1F3FC
👃🏽,Naso Carnagione Olivastra,U+1F443 U+1F3FD
👃🏾,Naso Carnagione Abbastanza Scura,U+1F443 U+1F3FE
👃🏿,Naso Carnagione Scura,U+1F443 U+1F3FF
🧠,Cervello,U+1F9E0
🫀,Organo Del Cuore,U+1FAC0
🫁,Polmoni,U+1FAC1
🦷,Dente,U+1F9B7
🦴,Osso,U+1F9B4
👀,Occhi,U+1F440
👁️,Occhio,U+1F441 U+FE0F
👅,Lingua,U+1F445
👄,Bocca,U+1F444
👶,Neonato,U+1F476
👶🏻,Neonato Carnagione Chiara,U+1F476 U+1F3FB
👶🏼,Neonato Carnagione Abbastanza Chiara,U+1F476 U+1F3FC
👶🏽,Neonato Carnagione Olivastra,U+1F476 U+1F3FD
👶🏾,Neonato Carnagione Abbastanza Scura,U+1F476 U+1F3FE
👶🏿,Neonato Carnagione Scura,U+1F476 U+1F3FF
🧒,Bimbo,U+1F9D2
🧒🏻,Bimbo Carnagione Chiara,U+1F9D2 U+1F3FB
🧒🏼,Bimbo Carnagione Abbastanza Chiara,U+1F9D2 U+1F3FC
🧒🏽,Bimbo Carnagione Olivastra,U+1F9D2 U+1F3FD
🧒🏾,Bimbo Carnagione Abbastanza Scura,U+1F9D2 U+1F3FE
🧒🏿,Bimbo Carnagione Scura,U+1F9D2 U+1F3FF
👦,Bambino,U+1F466
👦🏻,Bambino Carnagione Chiara,U+1F466 U+1F3FB
👦🏼,Bambino Carnagione Abbastanza Chiara,U+1F466 U+1F3FC
👦🏽,Bambino Carnagione Olivastra,U+1F466 U+1F3FD
👦🏾,Bambino Carnagione Abbastanza Scura,U+1F466 U+1F3FE
👦🏿,Bambino Carnagione Scura,U+1F466 U+1F3FF
👧,Bambina,U+1F467
👧🏻,Bambina Carnagione Chiara,U+1F467 U+1F3FB
👧🏼,Bambina Carnagione Abbastanza Chiara,U+1F467 U+1F3FC
👧🏽,Bambina Carnagione Olivastra,U+1F467 U+1F3FD
👧🏾,Bambina Carnagione Abbastanza Scura,U+1F467 U+1F3FE
👧🏿,Bambina Carnagione Scura,U+1F467 U+1F3FF
🧑,Persona,U+1F9D1
🧑🏻,Persona Carnagione Chiara,U+1F9D1 U+1F3FB
🧑🏼,Persona Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC
🧑🏽,Persona Carnagione Olivastra,U+1F9D1 U+1F3FD
🧑🏾,Persona Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE
🧑🏿,Persona Carnagione Scura,U+1F9D1 U+1F3FF
👱,Persona Bionda,U+1F471
👱🏻,Persona Bionda Carnagione Chiara,U+1F471 U+1F3FB
👱🏼,Persona Bionda Carnagione Abbastanza Chiara,U+1F471 U+1F3FC
👱🏽,Persona Bionda Carnagione Olivastra,U+1F471 U+1F3FD
👱🏾,Persona Bionda Carnagione Abbastanza Scura,U+1F471 U+1F3FE
👱🏿,Persona Bionda Carnagione Scura,U+1F471 U+1F3FF
👨,Uomo,U+1F468
👨🏻,Uomo Carnagione Chiara,U+1F468 U+1F3FB
👨🏼,Uomo Carnagione Abbastanza Chiara,U+1F468 U+1F3FC
👨🏽,Uomo Carnagione Olivastra,U+1F468 U+1F3FD
👨🏾,Uomo Carnagione Abbastanza Scura,U+1F468 U+1F3FE
👨🏿,Uomo Carnagione Scura,U+1F468 U+1F3FF
🧔,Uomo Con La Barba,U+1F9D4
🧔🏻,Uomo Con La Barba Carnagione Chiara,U+1F9D4 U+1F3FB
🧔🏼,Uomo Con La Barba Carnagione Abbastanza Chiara,U+1F9D4 U+1F3FC
